Nome,in0,in1,in10,in11,in12,in13,in14,in15,in16,in17,in18,in19,in2,in3,in4,in5,in6,in7,in8,in9
C25-12,0.002245,0.006186,0.002371,0.002324,0.002592,0.003622,0.006872,0.002379,0.002524,0.002681,0.002372,0.004505,0.002527,0.0026,0.004626,0.007365,0.003239,0.00486,0.002213,0.00312
C25-13,0.006973,0.002931,0.003843,0.009674,0.004714,0.007838,0.009046,0.004949,0.003733,0.003733,0.006045,0.005857,0.006789,0.002723,0.002912,0.004844,0.004647,0.003082,0.002634,0.012167
C25-14,0.007073,0.004436,0.00631,0.010457,0.00994,0.006109,0.004101,0.007008,0.002912,0.014257,0.002536,0.004108,0.002457,0.002612,0.004523,0.002673,0.010738,0.006975,0.009874,0.002398
C300-1,0.018755,0.018582,0.020582,0.021277,0.0187,0.01883,0.016751,0.024484,0.020861,0.042414,0.022242,0.020082,0.004505,0.042824,0.036257,0.033741,0.021232,0.016092,0.043782,0.036159
C300-2,0.527374,0.061173,1.73248,0.417714,0.158883,0.312977,1.17983,0.370915,0.26545,1.33441,0.170353,0.047521,0.065475,0.741267,0.325588,0.310562,0.63614,0.504282,0.702948,0.019793
C300-3,0.62215,0.881293,0.473421,2.49685,1.07934,1.7247,0.305042,0.360111,1.46815,0.798746,0.558495,0.656165,0.17617,0.951556,0.410878,0.756976,0.47892,0.762889,1.65801,0.364586
C300-4,2.80847,1.48764,0.70073,0.416967,1.63279,1.17306,0.504355,0.338174,0.8104,0.172011,0.157412,1.22046,0.220302,1.0004,0.729317,0.182724,0.082166,0.874132,0.652795,0.298125
C300-5,0.546553,0.214115,1.11339,1.60209,0.972688,7.84427,1.71911,1.13832,0.773844,2.9209,1.28648,0.100569,1.8627,1.34355,2.34746,4.04287,0.728835,0.698973,0.830987,0.794926
C300-6,1.5322,0.820747,0.146425,0.702031,0.461156,0.641692,0.57761,1.5112,0.351097,0.283235,1.35959,3.43163,0.651566,1.63803,1.72762,0.927638,3.44379,1.06478,1.38452,0.684829
C400-1,0.117849,0.064344,0.071344,0.135735,0.109395,0.124555,0.141021,0.077481,0.107855,0.143862,0.023112,0.07225,0.108592,0.132288,0.291425,0.171077,0.02987,0.054327,0.03902,0.077682
C400-2,1.11031,0.941012,0.324066,1.45141,0.430624,0.416693,0.185144,0.105697,0.111794,0.717888,0.16999,0.081497,1.69879,0.40869,0.470816,2.12477,0.534833,6.72781,1.60815,0.502744
C400-3,1.52721,0.947568,0.753734,0.453731,0.656516,0.582152,0.290109,0.182816,2.67809,2.70153,2.63189,1.69911,2.13246,1.79036,0.964475,0.66091,2.029,1.0585,5.48275,0.543919
C400-4,4.30535,8.47689,3.62645,2.12172,3.82505,1.32468,3.1129,2.14739,2.78949,7.47898,0.663455,1.54855,4.82606,0.820823,10.8115,2.79975,1.32742,1.77499,0.535369,2.72164
