Nome,in0,in1,in10,in11,in12,in13,in14,in15,in16,in17,in18,in19,in2,in3,in4,in5,in6,in7,in8,in9
900-P3,66.2861,9.58419,2.36453,22.0503,18.1571,3.46316,9.66758,6.14009,13.4891,11.3124,3.15243,2.19163,2.80898,10.1626,164.475,9.22341,9.20499,17.1065,6.13607,50.1926
900-P30,324.818,137.622,106.099,227.994,49.946,100.282,85.1354,54.2545,106.816,492.143,51.4492,58.999,104.401,61.9943,62.1284,44.7985,99.5008,60.0017,174.027,18.0726
900-P4,30.3048,26.1228,9.28723,27.9201,7.06974,14.9197,40.4869,24.7753,34.4533,14.71,7.73565,3.24932,35.7253,36.595,26.8149,18.3227,81.4513,120.422,6.6257,81.0147
900-P40,115.964,58.7728,258.611,124.119,86.9475,216.027,71.7223,235.948,405.664,303.864,156.424,60.4985,169.175,48.6471,419.013,44.8705,129.439,296.488,97.3565,46.0104
900-P5,11.404,1.6729,19.9531,16.3479,29.4004,77.6871,34.5072,11.6716,40.8468,8.52837,4.44324,1.95572,44.1732,3.00374,213.761,119.659,15.0558,18.344,52.8211,44.8592
900-P50,621.078,106.996,95.9313,39.2531,191.605,135.918,260.829,54.6992,163.091,248.312,639.617,743.967,738.241,38.8694,51.9054,282.907,302.785,532.031,891.304,293.337
900-P6,34.0137,26.8321,59.4955,10.6837,12.1074,9.94673,93.3649,20.7643,59.995,23.3248,59.9618,25.2206,4.51046,61.3555,97.3617,91.3636,12.7838,51.2088,2.18559,29.567
900-P60,323.75,142.984,1661.42,503.584,87.7869,19.781,63.7288,397.279,176.572,512.527,511.301,103.602,46.1327,83.093,40.9338,281.556,998.218,553.006,276.755,72.6555
900-P70,43.6484,122.207,284.174,229.2,195.029,742.112,12.8565,88.7223,952.867,144.907,15.1063,39.1778,133.582,348.328,179.525,82.37,45.9886,35.327,190.94,25.2249
900-P80,21.4467,60.025,583.971,1533.16,51.0802,9.55308,31.941,379.343,496.144,526.61,304.787,163.858,252.753,35.4408,8.44848,547.823,423.094,91.8861,1514.29,119.338
C25-11,0.006032,0.002698,0.001961,0.002446,0.001847,0.002034,0.002298,0.003417,0.00205,0.002213,0.003222,0.001892,0.002449,0.002817,0.002428,0.004028,0.003462,0.004375,0.002872,0.002732
C25-12,0.002608,0.002014,0.00204,0.002193,0.002151,0.00321,0.002754,0.002742,0.008984,0.003716,0.001921,0.002399,0.006456,0.002041,0.002928,0.007794,0.00444,0.003934,0.002627,0.00287
C300-1,0.018581,0.012847,0.01404,0.013212,0.025888,0.021275,0.011438,0.012534,0.0129,0.038521,0.031394,0.012078,0.013702,0.017908,0.026435,0.025993,0.030452,0.018143,0.012905,0.024157
C300-2,1.3784,0.178047,0.444592,0.566803,0.191247,0.103043,1.54131,0.100171,0.189389,0.062776,0.01997,0.017642,0.291185,0.497616,0.102558,0.242048,0.080387,0.064022,0.457154,0.016427
C300-3,1.06996,0.860306,0.251922,3.95915,0.538051,0.326398,0.392005,0.399781,1.10701,0.471891,0.814125,1.68691,1.73395,2.6634,0.243268,0.249081,1.23443,0.16273,3.65727,0.438122
C300-4,2.66646,1.55645,1.46048,3.13605,1.97157,0.813175,0.375135,0.13398,0.726763,0.209646,0.248088,0.705825,1.20948,0.786891,0.439801,3.89383,1.65021,0.315213,0.223234,1.17408
C300-5,0.878426,1.28015,3.36596,2.93155,0.998108,0.111889,0.884389,0.618525,0.406808,0.542328,0.767807,0.394399,0.4846,0.215879,1.41693,1.48713,1.40362,0.46226,0.569926,1.92049
C300-6,0.497808,0.595278,2.97172,1.04115,1.0078,1.63547,4.09317,0.297005,0.71697,2.34164,1.3512,0.867604,2.06471,0.49581,2.49425,1.34089,0.165847,0.234716,2.14079,3.84126
C400-1,0.087571,0.030583,0.051926,0.076421,0.241787,0.044659,0.073222,0.113279,0.024725,0.045061,0.101043,0.239026,0.151461,0.076141,0.028495,0.020732,0.038362,0.062416,0.041251,0.068095
C400-2,1.95313,1.38187,0.645536,1.3236,0.419134,1.19782,0.707914,1.40527,0.268846,0.728344,0.757062,0.10496,0.172662,1.26518,0.044829,0.910094,0.562954,2.3862,1.49796,0.571559
C400-3,1.2794,0.169718,1.99514,0.643848,3.89282,1.10885,1.88602,2.61471,0.720367,16.2357,1.42798,0.707767,1.84447,3.19515,0.257403,1.11771,0.920666,0.146387,1.15443,0.405553
C400-4,7.91857,2.06976,0.46787,2.37047,0.526646,4.29584,1.53904,1.62425,11.0215,0.567547,1.80512,1.11071,0.734332,2.82824,1.30717,4.1554,11.7621,2.97105,2.47131,1.28308
C400-5,0.537743,3.67149,6.92256,2.62079,5.29475,5.64919,1.5648,5.84125,0.328617,9.64164,0.857647,10.8922,0.201936,2.41429,18.065,2.39822,0.221298,1.33281,4.23465,1.92381
C400-6,0.498553,4.31152,0.305088,5.2089,2.23653,3.59274,6.04621,4.72582,3.46744,1.35134,2.91682,2.0718,3.03096,1.13346,1.2859,3.35758,6.71363,3.69739,0.986867,10.5839
C50-7,0.003424,0.004666,0.006686,0.003022,0.002803,0.004399,0.006185,0.008464,0.003197,0.00386,0.004054,0.013713,0.003961,0.003989,0.011741,0.012615,0.007502,0.01989,0.008381,0.003878
C50-8,0.004111,0.011387,0.072179,0.005063,0.003268,0.008763,0.008426,0.017901,0.00736,0.028027,0.010552,0.025485,0.005694,0.007627,0.002879,0.005592,0.008868,0.013182,0.009289,0.018054
C500-1,0.040007,0.097927,0.390976,0.062995,0.3766,0.180795,0.553518,0.315872,0.065235,0.309552,0.579234,0.397115,0.118547,0.366364,0.332107,0.236751,0.043403,0.049189,0.041114,0.072641
C500-2,2.08117,0.373567,3.39676,0.557327,0.945548,9.27853,0.598357,4.62946,1.92166,2.95158,1.93429,1.40427,4.06669,1.17697,1.46134,0.977673,1.73937,1.17775,1.85942,0.838202
C500-3,2.54453,4.50217,2.0443,2.75991,12.3335,1.2318,1.00084,4.98098,2.23196,3.24316,2.20279,19.6242,1.97004,3.68787,3.38625,2.9344,2.3897,22.6,2.27875,20.8516
C500-4,1.23464,2.323,5.13982,8.66176,7.00182,8.47103,4.62362,3.84219,3.22976,13.1991,16.2902,4.9353,2.44097,1.85029,2.17173,2.11623,0.824135,6.71984,1.26025,1.33168
C500-5,14.887,7.17753,1.32024,8.35758,1.4823,6.14663,10.8116,3.77098,2.47838,1.82867,5.79292,16.6948,3.39477,11.3098,10.506,7.46936,2.79854,1.82207,1.68364,1.86453
C500-6,7.68459,9.67836,4.04534,11.9988,12.1806,4.91322,9.76433,38.2876,4.587,2.44031,2.20466,11.6768,9.90846,5.95344,34.0078,1.54372,7.85225,8.43628,16.894,3.70723
C600-1,2.61723,1.64177,0.233459,1.53954,1.21697,0.246509,1.63004,0.408289,0.09616,0.117868,0.063352,2.12774,0.10514,0.180507,1.02736,1.89664,0.040405,1.96627,0.550168,0.195954
C600-2,13.1678,10.9842,0.768303,4.8961,5.44885,5.5138,1.2989,1.23247,4.97896,4.25388,2.52777,2.59505,17.1727,4.52309,5.2429,24.6133,3.5842,1.98244,1.39325,3.84912
C600-3,2.54107,4.3132,1.17598,1.37525,6.69775,3.87783,2.81498,28.5785,4.66422,3.54083,15.6325,8.55844,2.343,11.2574,6.35224,2.68293,5.02184,2.59172,7.15005,0.876876
C600-4,16.2291,13.018,1.76164,25.6306,5.98871,8.83923,10.768,8.06854,13.3716,2.10164,7.40111,14.38,9.66771,5.57648,12.621,4.00004,5.49446,8.9799,1.4559,5.19206
C600-5,1.69534,2.68257,1.50123,5.09665,16.6427,3.67858,31.0948,14.848,23.1717,7.96989,9.35884,24.6583,26.7024,6.00715,43.6712,28.6586,5.97579,12.9614,21.3337,27.0673
C600-6,22.9907,8.08923,9.5389,7.19046,10.6637,0.880693,4.78785,20.0605,9.70468,4.90595,15.0192,32.1415,8.49247,6.44524,1.39541,5.19948,3.1777,1.68722,7.31904,13.0106
C700-1,0.376451,4.87688,0.868663,1.83103,4.22062,7.24557,1.40578,1.3528,1.48367,1.76986,0.526072,1.81008,1.23551,9.92977,0.401534,0.668483,1.00274,0.856871,0.315887,2.55178
C700-2,5.32237,3.90831,3.30869,14.8476,1.21017,11.3737,7.85156,1.69835,16.7165,8.60605,1.43172,1.93067,3.01178,1.06408,4.17528,1.06778,3.69829,5.12191,5.20277,3.77158
C700-3,5.16341,9.05131,4.27868,10.777,3.66437,54.7523,4.51955,9.39762,5.86911,6.44657,12.6557,17.5273,19.2581,5.94779,6.69941,1.85411,20.0605,6.21187,3.17567,5.21073
C700-4,3.17622,9.18028,0.858384,4.02254,0.523107,1.81197,17.1556,8.11197,0.970568,7.24738,4.59161,9.66258,1.71156,10.0488,14.2843,11.601,43.3526,18.3766,2.34247,56.0552
C700-5,32.5917,36.4331,38.9997,0.770294,13.8249,16.6443,13.6061,1.39702,5.5898,9.356,12.7529,31.3432,7.78087,4.88185,12.8445,19.7736,39.4095,14.9199,1.47882,6.42693
C700-6,6.54918,23.6223,7.24988,8.54501,11.173,40.4043,2.54104,3.67276,1.69686,13.6559,20.2644,3.47888,27.6283,4.39563,17.5537,19.1374,9.67808,20.6924,11.4449,21.529
